Date,Time,Crop_Type,Solar_Energy_Production_kWh,Temperature_C,Rainfall_mm,Soil_Moisture_Content,pH
1/1/2020,7:15:00,Lettuce,0.38,26.75,19.21,47.5,5.8
1/1/2020,9:30:00,Lettuce,2.38,24.52,21.59,40.96,5.93
1/1/2020,12:00:00,Lettuce,4.65,31.71,28.09,46.31,5.83
1/1/2020,14:30:00,Lettuce,3.37,28.31,13.94,46.84,6.14
1/1/2020,16:45:00,Lettuce,1.44,24.04,19.52,44.19,6.61
1/1/2020,19:15:00,Lettuce,0.25,24.77,19.78,43.42,5.19
2/1/2020,7:15:00,Lettuce,0.58,24.27,13.21,48.1,6.7
2/1/2020,9:30:00,Lettuce,1.95,25.28,12.71,43.03,6.36
2/1/2020,12:00:00,Lettuce,4.67,28.83,15.51,44.06,5.34
2/1/2020,14:30:00,Lettuce,2.47,31.67,16.2,37.73,6.47
2/1/2020,16:45:00,Lettuce,1.72,29.44,22.8,43.16,6.71
2/1/2020,19:15:00,Lettuce,0.6,28.62,27.09,46.5,5.56
3/1/2020,7:15:00,Lettuce,0.48,31.75,25.94,45.32,5.64
3/1/2020,9:30:00,Lettuce,1.42,23.16,18.75,48.33,5.31
3/1/2020,12:00:00,Lettuce,3.57,27.58,21.14,51.26,5.87
3/1/2020,14:30:00,Lettuce,2.64,31.98,25.1,46.47,6.12
3/1/2020,16:45:00,Lettuce,0.87,31.23,10.22,43.32,5.1
3/1/2020,19:15:00,Lettuce,0.31,23.33,24.78,48.96,6.01
4/1/2020,7:15:00,Lettuce,0.47,30.65,12.68,44.57,5.3
4/1/2020,9:30:00,Lettuce,2.17,24.76,27.87,47.94,6.99
4/1/2020,12:00:00,Lettuce,4.43,30.69,27.25,47.11,5.83
4/1/2020,14:30:00,Lettuce,2.48,23.38,26.04,41.18,5.35
4/1/2020,16:45:00,Lettuce,1.61,27.06,22.03,42.03,6.29
4/1/2020,19:15:00,Lettuce,0.46,31.19,23.88,45.56,6.69
5/1/2020,7:15:00,Lettuce,0.25,26.79,18.94,38.72,6.64
5/1/2020,9:30:00,Lettuce,1.52,23.95,11.8,42.42,5.97
5/1/2020,12:00:00,Lettuce,4.54,26.67,18.7,48.8,6.82
5/1/2020,14:30:00,Lettuce,3.88,30.19,10.63,44.94,5.41
5/1/2020,16:45:00,Lettuce,1.94,26.71,18.1,51.2,5.5
5/1/2020,19:15:00,Lettuce,0.46,27.47,10.14,44.63,6.3
6/1/2020,7:15:00,Lettuce,0.56,31.34,27.45,43.81,5.44
6/1/2020,9:30:00,Lettuce,1.51,23.15,17.9,47.73,5.31
6/1/2020,12:00:00,Lettuce,4.16,26.03,19.82,48.37,5.13
6/1/2020,14:30:00,Lettuce,3.93,26.66,20.67,44.43,6.73
6/1/2020,16:45:00,Lettuce,1.86,25.28,20.87,37,6.53
6/1/2020,19:15:00,Lettuce,0.39,24.67,16.02,44.39,5.93
7/1/2020,7:15:00,Lettuce,0.64,28.22,24.1,50.3,6.87
7/1/2020,9:30:00,Lettuce,2.36,23.05,27.41,39.94,5.68
7/1/2020,12:00:00,Lettuce,4.15,30,24.3,42.66,6.56
7/1/2020,14:30:00,Lettuce,2.63,23.38,24.23,49.1,6.91
7/1/2020,16:45:00,Lettuce,1.03,25.63,11.39,50.56,5.12
