Date,Area_in_Hectares,Production_in_Tons,Crop_Yield_tons_ha,Solar_Energy_Production_kWh,Temperature_C,Rainfall_mm,Soil_Moisture_Content,pH
5/1/2020,1.2339,14.4149,11.6828,57.96,1116.05,799.77,1791.87,240.2
12/1/2020,1.3191,15.4829,11.7372,80.76,1530.63,1135.34,2488.5099999999998,336.01
19/1/2020,1.3104,12.1326,9.2589,79.5,1529.92,1164.23,2548.19,328.65
26/1/2020,1.4634,13.8584,9.4699,76.06,1542.49,1178.69,2536.21,342.84
2/2/2020,1.503,13.2648,8.8253,79.03,1552.85,1117.85,2521.28,338.19
9/2/2020,1.3131,13.1801,10.0377,76.96,1570.94,1096.76,2501.2599999999998,335.26
16/2/2020,1.2609,15.4606,12.2616,76.57000000000001,1555.6,1131.93,2468.99,337.13
23/2/2020,1.3918,12.3386,8.8654,78.49,1551.94,1119.19,2516.83,331.94
1/3/2020,1.3927,15.1436,10.8736,83.78,1547.19,1111.39,2300.01,343.14
8/3/2020,1.2274,13.4417,10.9513,79.74,1534.26,792.77,834.66,363.08
15/3/2020,1.3449,12.7725,9.4967,80.77,1540.48,818.14,845.83,361.73
22/3/2020,1.4386,13.7377,9.5497,81.34,1597.09,826.14,845.44,364.31
29/3/2020,1.1361,14.5817,12.8349,80.1,1580.87,781.66,847.78,359.99
5/4/2020,0.4562,12.1597,26.6543,91.51,1539.5,572.9300000000001,732.68,310.65
12/4/2020,0.1525,11.7194,76.8552,117.74,1834.53,572.59,826.89,365.28
19/4/2020,0.7402,11.2474,15.1946,106.99,1840.01,499.48,848.49,364.06
26/4/2020,0.3008,11.7472,39.0471,114.98,1854.99,540.67,840.21,364
3/5/2020,0.4881,9.8355,20.1512,117.02,1889.06,635.19,826.06,363.88
10/5/2020,0.6145,11.8759,19.3276,117.55,1822.3,568.01,885.73,372.01
17/5/2020,0.4447,10.361,23.3007,115.42999999999999,1816.64,533.47,835.72,364.1
24/5/2020,0.6603,10.2527,15.5282,113.34,1853.82,545.77,836.1,364.03
31/5/2020,0.6993,9.3545,13.3773,115.13,1813.47,460.46999999999997,820.4,360.9
7/6/2020,0.0722,11.2462,155.778,111.39999999999999,1853.28,638.83,809.9399999999999,367.32
14/6/2020,0.4275,13.0674,30.567,113.85,1873.32,539.62,857.9,361.82
21/6/2020,0.7005,10.0208,14.3056,110.02,1842.6399999999999,582.94,820.6,363.19
28/6/2020,0.6962,10.9547,15.7346,119.46,1855.19,574.96,879.17,365.03
5/7/2020,0.457,10.6368,23.277,112.77,1856.49,562.25,859.24,363.42
